index,効果,対象,ID
170,☆前のターンに自分の人形が倒されていると威力倍,1,116
171,☆相手が交代する際にスキルを出すと交代前に発動威力倍,1,148
172,☆相手が攻撃スキルを選び、かつ先攻の場合成功する,1,107
173,☆相手が持っている消費道具を奪って自分に使う,1,172
174,☆相手が状態異常の時威力倍,1,113
175,☆相手が装飾品を持つ場合、威力が1.5倍、装飾品を持たない状態に,1,143
176,☆相手が毒・猛毒状態の時威力倍,1,112
177,☆相手の5ステからランダムに1段低下,1,64
178,☆相手のFプロテクト・Fバリアの効果を受けず、それを壊す,1,142
179,☆相手のコストが高いほど威力が上がる,1,126
180,☆相手の現在HPが最大HPの半分以下の時威力倍,1,114
181,☆相手の現在HPが多いほど威力が上がる,1,118
182,☆相手の散弾1段低下,1,36
183,☆相手の散防1段低下,1,37
184,☆相手の散防2段低下,1,77
185,☆相手の集弾1段低下,1,34
186,☆相手の集防・散防を入れ替えてダメージ計算,1,130
187,☆相手の集防1段低下,1,35
188,☆相手の俊敏1段低下,1,38
189,☆相手の装飾品を奪う,1,146
190,☆相手の能力ランクが高いほど威力が上がる,1,120
191,☆相手の能力ランクを元に戻す,1,131
192,☆相手の能力ランク無視,1,132
193,☆相手の命中1段低下,1,78
194,☆相手より俊敏が低いほど威力が上がる,1,125
195,☆相手を暗闇に,1,3
196,☆相手を火傷に,1,2
197,☆相手を火傷に　痛烈になりやすい,1,100
198,☆相手を怯み,1,18
199,☆相手を怯み　最初のターンのみ成功,1,106
200,☆相手を怯み　相手がカモフラージュ状態の時必中威力倍,1,105
201,☆相手を恐怖に,1,4
202,☆相手を混乱　濃霧時必中　凪時命中半減　成功した時凪・濃霧を解除,1,165
203,☆相手を混乱に,1,17
204,☆相手を吹き飛ばす,1,58
205,☆相手を衰弱に,1,94
206,☆相手を停止に,1,6
207,☆相手を毒に,1,1
208,☆相手を毒に　痛烈になりやすい,1,93
209,☆相手を麻痺or暗闇or恐怖,1,96
210,☆相手を麻痺に,1,5
211,☆相手を無防備に,1,128
212,☆相手を猛毒に,1,95
213,☆通常攻撃,1,0
214,☆反動ダメージ1/2,1,52
215,☆反動ダメージ1/3,1,51
216,☆反動ダメージ1/3　相手を火傷に,1,99
217,☆反動ダメージ1/3　相手を恐怖に,1,108
218,☆反動ダメージ1/3　相手を麻痺に,1,98
219,☆反動ダメージ1/4,1,97
220,☆溜め　1ターン目に自分の集防ランクを1段階上昇させる,1,145
221,☆溜め　極光時溜め無し　極光以外の天候の時威力半減,1,166
222,☆溜め 溜めてる間 ほとんどのスキル無効 　防御結界無効,1,169
223,☆溜め・相手を怯み・痛烈1,1,55
224,☆連続2～5回,1,53
225,☆連続2回,1,224
226,★相手のスキルのうちランダムに2つを4ターン使えなくする。,1,225
227,☆自分の俊敏が1段低下,1,226
228,NULL,0,227
229,NULL,0,228
230,NULL,0,229
231,NULL,0,230
232,NULL,0,231
233,NULL,0,232
234,NULL,0,233
235,NULL,0,234
236,NULL,0,235
237,NULL,0,236
238,NULL,0,237
239,NULL,0,238
240,NULL,0,239
241,NULL,0,240
242,NULL,0,241
243,NULL,0,242
244,NULL,0,243
245,NULL,0,244
246,NULL,0,245
247,NULL,0,246
248,NULL,0,247
249,NULL,0,248
250,NULL,0,249
251,NULL,0,250
252,NULL,0,251
253,NULL,0,252
254,NULL,0,253
255,NULL,0,254
256,NULL,0,255
257,NULL,0,256
258,NULL,0,257
259,NULL,0,258
260,NULL,0,259
261,NULL,0,260
262,NULL,0,261
263,NULL,0,262
264,NULL,0,263
265,NULL,0,264
266,NULL,0,265
267,NULL,0,266
268,NULL,0,267
269,NULL,0,268
270,NULL,0,269
271,NULL,0,270
272,NULL,0,271
273,NULL,0,272
274,NULL,0,273
275,NULL,0,274
276,NULL,0,275
277,NULL,0,276
278,NULL,0,277
279,NULL,0,278
280,NULL,0,279
281,NULL,0,280
282,NULL,0,281
283,NULL,0,282
284,NULL,0,283
285,NULL,0,284
286,NULL,0,285
287,NULL,0,286
288,NULL,0,287
289,NULL,0,288
290,NULL,0,289
291,NULL,0,290
292,NULL,0,291
293,NULL,0,292
294,NULL,0,293
295,NULL,0,294
296,NULL,0,295
297,NULL,0,296
298,NULL,0,297
299,NULL,0,298
300,NULL,0,299
301,NULL,0,300
302,NULL,0,301
303,NULL,0,302
304,NULL,0,303
305,NULL,0,304
306,NULL,0,305
307,NULL,0,306
308,NULL,0,307
309,NULL,0,308
310,NULL,0,309
311,NULL,0,310
312,NULL,0,311
313,NULL,0,312
314,NULL,0,313
315,NULL,0,314
316,NULL,0,315
317,NULL,0,316
318,NULL,0,317
319,NULL,0,318
320,NULL,0,319
321,NULL,0,320
322,NULL,0,321
323,NULL,0,322
324,NULL,0,323
325,NULL,0,324
326,NULL,0,325
327,NULL,0,326
328,NULL,0,327
329,NULL,0,328
330,NULL,0,329
331,NULL,0,330
332,NULL,0,331
333,NULL,0,332
334,NULL,0,333
335,NULL,0,334
336,NULL,0,335
337,NULL,0,336
338,NULL,0,337
339,NULL,0,338
340,NULL,0,339
341,NULL,0,340
342,NULL,0,341
343,NULL,0,342
344,NULL,0,343
345,NULL,0,344
346,NULL,0,345
347,NULL,0,346
348,NULL,0,347
349,NULL,0,348
350,NULL,0,349
351,NULL,0,350
352,NULL,0,351
353,NULL,0,352
354,NULL,0,353
355,NULL,0,354
356,NULL,0,355
357,NULL,0,356
358,NULL,0,357
359,NULL,0,358
360,NULL,0,359
361,NULL,0,360
362,NULL,0,361
363,NULL,0,362
364,NULL,0,363
365,NULL,0,364
366,NULL,0,365
367,NULL,0,366
368,NULL,0,367
369,NULL,0,368
370,NULL,0,369
371,NULL,0,370
372,NULL,0,371
373,NULL,0,372
374,NULL,0,373
375,NULL,0,374
376,NULL,0,375
377,NULL,0,376
378,NULL,0,377
379,NULL,0,378
380,NULL,0,379
381,NULL,0,380
382,NULL,0,381
383,NULL,0,382
384,NULL,0,383
385,NULL,0,384
386,NULL,0,385
387,NULL,0,386
388,NULL,0,387
389,NULL,0,388
390,NULL,0,389
391,NULL,0,390
392,NULL,0,391
393,NULL,0,392
394,NULL,0,393
395,NULL,0,394
396,NULL,0,395
397,NULL,0,396
398,NULL,0,397
399,NULL,0,398
400,NULL,0,399
401,NULL,0,400
402,NULL,0,401
403,NULL,0,402
404,NULL,0,403
405,NULL,0,404
406,NULL,0,405
407,NULL,0,406
408,NULL,0,407
409,NULL,0,408
410,NULL,0,409
411,NULL,0,410
412,NULL,0,411
413,NULL,0,412
414,NULL,0,413
415,NULL,0,414
416,NULL,0,415
417,NULL,0,416
418,NULL,0,417
419,NULL,0,418
420,NULL,0,419
421,NULL,0,420
422,NULL,0,421
423,NULL,0,422
424,NULL,0,423
425,NULL,0,424
426,NULL,0,425
427,NULL,0,426
428,NULL,0,427
429,NULL,0,428
430,NULL,0,429
431,NULL,0,430
432,NULL,0,431
433,NULL,0,432
434,NULL,0,433
435,NULL,0,434
436,NULL,0,435
437,NULL,0,436
438,NULL,0,437
439,NULL,0,438
440,NULL,0,439
441,NULL,0,440
442,NULL,0,441
443,NULL,0,442
444,NULL,0,443
445,NULL,0,444
446,NULL,0,445
447,NULL,0,446
448,NULL,0,447
449,NULL,0,448
450,NULL,0,449
451,NULL,0,450
452,NULL,0,451
453,NULL,0,452
454,NULL,0,453
455,NULL,0,454
456,NULL,0,455
457,NULL,0,456
458,NULL,0,457
459,NULL,0,458
460,NULL,0,459
461,NULL,0,460
462,NULL,0,461
463,NULL,0,462
464,NULL,0,463
465,NULL,0,464
466,NULL,0,465
467,NULL,0,466
468,NULL,0,467
469,NULL,0,468
470,NULL,0,469
471,NULL,0,470
472,NULL,0,471
473,NULL,0,472
474,NULL,0,473
475,NULL,0,474
476,NULL,0,475
477,NULL,0,476
478,NULL,0,477
479,NULL,0,478
480,NULL,0,479
481,NULL,0,480
482,NULL,0,481
483,NULL,0,482
484,NULL,0,483
485,NULL,0,484
486,NULL,0,485
487,NULL,0,486
488,NULL,0,487
489,NULL,0,488
490,NULL,0,489
491,NULL,0,490
492,NULL,0,491
493,NULL,0,492
494,NULL,0,493
495,NULL,0,494
496,NULL,0,495
497,NULL,0,496
498,NULL,0,497
499,NULL,0,498
500,NULL,0,499
501,NULL,0,500
502,NULL,0,501
503,NULL,0,502
504,NULL,0,503
505,NULL,0,504
506,NULL,0,505
507,NULL,0,506
508,NULL,0,507
509,NULL,0,508
510,NULL,0,509
511,NULL,0,510
512,NULL,0,511
513,NULL,0,512
514,NULL,0,513
515,NULL,0,514
516,NULL,0,515
517,NULL,0,516
518,NULL,0,517
519,NULL,0,518
520,NULL,0,519
521,NULL,0,520
522,NULL,0,521
523,NULL,0,522
524,NULL,0,523
525,NULL,0,524
526,NULL,0,525
527,NULL,0,526
528,NULL,0,527
529,NULL,0,528
530,NULL,0,529
531,NULL,0,530
532,NULL,0,531
533,NULL,0,532
534,NULL,0,533
535,NULL,0,534
536,NULL,0,535
537,NULL,0,536
538,NULL,0,537
539,NULL,0,538
540,NULL,0,539
541,NULL,0,540
542,NULL,0,541
543,NULL,0,542
544,NULL,0,543
545,NULL,0,544
546,NULL,0,545
547,NULL,0,546
548,NULL,0,547
549,NULL,0,548
550,NULL,0,549
551,NULL,0,550
552,NULL,0,551
553,NULL,0,552
554,NULL,0,553
555,NULL,0,554
556,NULL,0,555
557,NULL,0,556
558,NULL,0,557
559,NULL,0,558
560,NULL,0,559
561,NULL,0,560
562,NULL,0,561
563,NULL,0,562
564,NULL,0,563
565,NULL,0,564
566,NULL,0,565
567,NULL,0,566
568,NULL,0,567
569,NULL,0,568
570,NULL,0,569
571,NULL,0,570
572,NULL,0,571
573,NULL,0,572
574,NULL,0,573
575,NULL,0,574
576,NULL,0,575
577,NULL,0,576
578,NULL,0,577
579,NULL,0,578
580,NULL,0,579
581,NULL,0,580
582,NULL,0,581
583,NULL,0,582
584,NULL,0,583
585,NULL,0,584
586,NULL,0,585
587,NULL,0,586
588,NULL,0,587
589,NULL,0,588
590,NULL,0,589
591,NULL,0,590
592,NULL,0,591
593,NULL,0,592
594,NULL,0,593
595,NULL,0,594
596,NULL,0,595
597,NULL,0,596
598,NULL,0,597
599,NULL,0,598
600,NULL,0,599
601,NULL,0,600
602,NULL,0,601
603,NULL,0,602
604,NULL,0,603
605,NULL,0,604
606,NULL,0,605
607,NULL,0,606
608,NULL,0,607
609,NULL,0,608
610,NULL,0,609
611,NULL,0,610
612,NULL,0,611
613,NULL,0,612
614,NULL,0,613
615,NULL,0,614
616,NULL,0,615
617,NULL,0,616
618,NULL,0,617
619,NULL,0,618
620,NULL,0,619
621,NULL,0,620
622,NULL,0,621
623,NULL,0,622
624,NULL,0,623
625,NULL,0,624
626,NULL,0,625
627,NULL,0,626
628,NULL,0,627
629,NULL,0,628
630,NULL,0,629
631,NULL,0,630
632,NULL,0,631
633,NULL,0,632
634,NULL,0,633
635,NULL,0,634
636,NULL,0,635
637,NULL,0,636
638,NULL,0,637
639,NULL,0,638
640,NULL,0,639
641,NULL,0,640
642,NULL,0,641
643,NULL,0,642
644,NULL,0,643
645,NULL,0,644
646,NULL,0,645
647,NULL,0,646
648,NULL,0,647
649,NULL,0,648
650,NULL,0,649
651,NULL,0,650
652,NULL,0,651
653,NULL,0,652
654,NULL,0,653
655,NULL,0,654
656,NULL,0,655
657,NULL,0,656
658,NULL,0,657
659,NULL,0,658
660,NULL,0,659
661,NULL,0,660
662,NULL,0,661
663,NULL,0,662
664,NULL,0,663
665,NULL,0,664
666,NULL,0,665
667,NULL,0,666
668,NULL,0,667
669,NULL,0,668
670,NULL,0,669
671,NULL,0,670
672,NULL,0,671
673,NULL,0,672
674,NULL,0,673
675,NULL,0,674
676,NULL,0,675
677,NULL,0,676
678,NULL,0,677
679,NULL,0,678
680,NULL,0,679
681,NULL,0,680
682,NULL,0,681
683,NULL,0,682
684,NULL,0,683
685,NULL,0,684
686,NULL,0,685
687,NULL,0,686
688,NULL,0,687
689,NULL,0,688
690,NULL,0,689
691,NULL,0,690
692,NULL,0,691
693,NULL,0,692
694,NULL,0,693
695,NULL,0,694
696,NULL,0,695
697,NULL,0,696
698,NULL,0,697
699,NULL,0,698
700,NULL,0,699
701,NULL,0,700
702,NULL,0,701
703,NULL,0,702
704,NULL,0,703
705,NULL,0,704
706,NULL,0,705
707,NULL,0,706
708,NULL,0,707
709,NULL,0,708
710,NULL,0,709
711,NULL,0,710
712,NULL,0,711
713,NULL,0,712
714,NULL,0,713
715,NULL,0,714
716,NULL,0,715
717,NULL,0,716
718,NULL,0,717
719,NULL,0,718
720,NULL,0,719
721,NULL,0,720
722,NULL,0,721
723,NULL,0,722
724,NULL,0,723
725,NULL,0,724
726,NULL,0,725
727,NULL,0,726
728,NULL,0,727
729,NULL,0,728
730,NULL,0,729
731,NULL,0,730
732,NULL,0,731
733,NULL,0,732
734,NULL,0,733
735,NULL,0,734
736,NULL,0,735
737,NULL,0,736
738,NULL,0,737
739,NULL,0,738
740,NULL,0,739
741,NULL,0,740
742,NULL,0,741
743,NULL,0,742
744,NULL,0,743
745,NULL,0,744
746,NULL,0,745
747,NULL,0,746
748,NULL,0,747
749,NULL,0,748
750,NULL,0,749
751,NULL,0,750
752,NULL,0,751
753,NULL,0,752
754,NULL,0,753
755,NULL,0,754
756,NULL,0,755
757,NULL,0,756
758,NULL,0,757
759,NULL,0,758
760,NULL,0,759
761,NULL,0,760
762,NULL,0,761
763,NULL,0,762
764,NULL,0,763
765,NULL,0,764
766,NULL,0,765
767,NULL,0,766
768,NULL,0,767
769,NULL,0,768
770,NULL,0,769
771,NULL,0,770
772,NULL,0,771
773,NULL,0,772
774,NULL,0,773
775,NULL,0,774
776,NULL,0,775
777,NULL,0,776
778,NULL,0,777
779,NULL,0,778
780,NULL,0,779
781,NULL,0,780
782,NULL,0,781
783,NULL,0,782
784,NULL,0,783
785,NULL,0,784
786,NULL,0,785
787,NULL,0,786
788,NULL,0,787
789,NULL,0,788
790,NULL,0,789
791,NULL,0,790
792,NULL,0,791
793,NULL,0,792
794,NULL,0,793
795,NULL,0,794
796,NULL,0,795
797,NULL,0,796
798,NULL,0,797
799,NULL,0,798
800,NULL,0,799
801,NULL,0,800
802,NULL,0,801
803,NULL,0,802
804,NULL,0,803
805,NULL,0,804
806,NULL,0,805
807,NULL,0,806
808,NULL,0,807
809,NULL,0,808
810,NULL,0,809
811,NULL,0,810
812,NULL,0,811
813,NULL,0,812
814,NULL,0,813
815,NULL,0,814
816,NULL,0,815
817,NULL,0,816
818,NULL,0,817
819,NULL,0,818
820,NULL,0,819
821,NULL,0,820
822,NULL,0,821
823,NULL,0,822
824,NULL,0,823
825,NULL,0,824
826,NULL,0,825
827,NULL,0,826
828,NULL,0,827
829,NULL,0,828
830,NULL,0,829
831,NULL,0,830
832,NULL,0,831
833,NULL,0,832
834,NULL,0,833
835,NULL,0,834
836,NULL,0,835
837,NULL,0,836
838,NULL,0,837
839,NULL,0,838
840,NULL,0,839
841,NULL,0,840
842,NULL,0,841
843,NULL,0,842
844,NULL,0,843
845,NULL,0,844
846,NULL,0,845
847,NULL,0,846
848,NULL,0,847
849,NULL,0,848
850,NULL,0,849
851,NULL,0,850
852,NULL,0,851
853,NULL,0,852
854,NULL,0,853
855,NULL,0,854
856,NULL,0,855
857,NULL,0,856
858,NULL,0,857
859,NULL,0,858
860,NULL,0,859
861,NULL,0,860
862,NULL,0,861
863,NULL,0,862
864,NULL,0,863
865,NULL,0,864
866,NULL,0,865
867,NULL,0,866
868,NULL,0,867
869,NULL,0,868
870,NULL,0,869
871,NULL,0,870
872,NULL,0,871
873,NULL,0,872
874,NULL,0,873
875,NULL,0,874
876,NULL,0,875
877,NULL,0,876
878,NULL,0,877
879,NULL,0,878
880,NULL,0,879
881,NULL,0,880
882,NULL,0,881
883,NULL,0,882
884,NULL,0,883
885,NULL,0,884
886,NULL,0,885
887,NULL,0,886
888,NULL,0,887
889,NULL,0,888
890,NULL,0,889
891,NULL,0,890
892,NULL,0,891
893,NULL,0,892
894,NULL,0,893
895,NULL,0,894
896,NULL,0,895
897,NULL,0,896
898,NULL,0,897
899,NULL,0,898
900,NULL,0,899
901,NULL,0,900
902,NULL,0,901
903,NULL,0,902
904,NULL,0,903
905,NULL,0,904
906,NULL,0,905
907,NULL,0,906
908,NULL,0,907
909,NULL,0,908
910,NULL,0,909
911,NULL,0,910
912,NULL,0,911
913,NULL,0,912
914,NULL,0,913
915,NULL,0,914
916,NULL,0,915
917,NULL,0,916
918,NULL,0,917
919,NULL,0,918
920,NULL,0,919
921,NULL,0,920
922,NULL,0,921
923,NULL,0,922
924,NULL,0,923
925,NULL,0,924
926,NULL,0,925
927,NULL,0,926
928,NULL,0,927
929,NULL,0,928
930,NULL,0,929
931,NULL,0,930
932,NULL,0,931
933,NULL,0,932
934,NULL,0,933
935,NULL,0,934
936,NULL,0,935
937,NULL,0,936
938,NULL,0,937
939,NULL,0,938
940,NULL,0,939
941,NULL,0,940
942,NULL,0,941
943,NULL,0,942
944,NULL,0,943
945,NULL,0,944
946,NULL,0,945
947,NULL,0,946
948,NULL,0,947
949,NULL,0,948
950,NULL,0,949
951,NULL,0,950
952,NULL,0,951
953,NULL,0,952
954,NULL,0,953
955,NULL,0,954
956,NULL,0,955
957,NULL,0,956
958,NULL,0,957
959,NULL,0,958
960,NULL,0,959
961,NULL,0,960
962,NULL,0,961
963,NULL,0,962
964,NULL,0,963
965,NULL,0,964
966,NULL,0,965
967,NULL,0,966
968,NULL,0,967
969,NULL,0,968
970,NULL,0,969
971,NULL,0,970
972,NULL,0,971
973,NULL,0,972
974,NULL,0,973
975,NULL,0,974
976,NULL,0,975
977,NULL,0,976
978,NULL,0,977
979,NULL,0,978
980,NULL,0,979
981,NULL,0,980
982,NULL,0,981
983,NULL,0,982
984,NULL,0,983
985,NULL,0,984
986,NULL,0,985
987,NULL,0,986
988,NULL,0,987
989,NULL,0,988
990,NULL,0,989
991,NULL,0,990
992,NULL,0,991
993,NULL,0,992
994,NULL,0,993
995,NULL,0,994
996,NULL,0,995
997,NULL,0,996
998,NULL,0,997
999,NULL,0,998
1000,NULL,0,999
1001,NULL,0,1000
1002,NULL,0,1001
1003,NULL,0,1002
1004,NULL,0,1003
1005,NULL,0,1004
1006,NULL,0,1005
1007,NULL,0,1006
1008,NULL,0,1007
1009,NULL,0,1008
1010,NULL,0,1009
1011,NULL,0,1010
1012,NULL,0,1011
1013,NULL,0,1012
1014,NULL,0,1013
1015,NULL,0,1014
1016,NULL,0,1015
1017,NULL,0,1016
1018,NULL,0,1017
1019,NULL,0,1018
1020,NULL,0,1019
1021,NULL,0,1020
1022,NULL,0,1021
1023,NULL,0,1022
