名称,属性,威力,命中,SP,优先,分类,概率,效果
誘導弾,无,80,85%,15,0,集中,10%,★次ターン終了時HPが最大HPの半分回復。交代した場合は交代後の人形が回復
陽の気力,梦,55,100%,35,0,扩散,10%,★3ターン相手は同じスキルしか使えない
拡散ビーム,无,65,100%,20,0,扩散,10%,★次のターン終了時に相手を停止状態に
運否天賦,无,0,-,10,0,变化,-,★相手の集弾1段低下
防壁強化,无,0,-,35,0,变化,-,★変化スキル反射
障壁強化,无,0,-,35,0,变化,-,★防御結界＋防いだスキルの威力が100以上の場合相手に1/8ダメージ
烈火,炎,0,100%,10,0,集中,10%,★天候発現「濃霧」
煉獄炎舞,炎,120,100%,10,0,集中,10%,★相手を火傷に
ホーリーフレア,炎,100,95%,10,0,集中,50%,★4ターンの間 俊敏が倍に 場の効果
バーンストライク,炎,90,90%,10,0,集中,10%,★相手を怯み
爆裂火炎,炎,80,100%,20,0,集中,30%,★4ターンの間 俊敏が倍に 場の効果
ファイアジャベリン,炎,75,100%,15,0,集中,10%,★4ターンの間 俊敏が倍に 場の効果
ライジングサン,炎,50,100%,20,0,集中,100%,★自分の5ステからランダムに1段上昇
火燕舞踏,炎,150,100%,5,0,扩散,10%,★地相発現「白虎」
エクスプロージョン,炎,150,100%,5,0,扩散,10%,★自分の集弾・集防・命中1段上昇
ヴォルケイノ,炎,130,90%,5,0,扩散,100%,★自分の集弾1段上昇
インフェルノ,炎,120,85%,5,0,扩散,10%,★4ターンの間 俊敏が倍に 場の効果
大火槍,炎,100,90%,10,0,扩散,10%,★4ターンの間 俊敏が倍に 場の効果
天明の大火,炎,100,50%,5,0,扩散,100%,★4ターンの間 俊敏が倍に 場の効果
炎龍の舞,炎,100,75%,5,0,扩散,10%,☆自分が状態異常の時威力倍　恐怖・暗闇無視
バックドラフト,炎,95,100%,15,0,扩散,10%,★4ターンの間 俊敏が倍に 場の効果
フラッシュオーバー,炎,80,100%,15,0,扩散,30%,★4ターンの間 俊敏が倍に 場の効果
炎の波動,炎,80,100%,10,0,扩散,50%,★自分と相手を破滅状態にする
ファイアウォール,炎,65,100%,10,0,扩散,10%,☆固定ダメージ（相手現在HP-自分現在HP）
炎蛇の舞,炎,20,100%,20,0,扩散,10%,☆自分が状態異常の時威力倍　恐怖・暗闇無視
狐火,炎,0,85%,15,0,变化,-,★相手を恐怖に
テルミット,炎,0,90%,5,0,变化,-,★自分と相手の集防・散防を平均する
地相発現「朱雀」,炎,0,-,10,0,变化,-,☆自分の散弾1段上昇
ファイアーボール,炎,55,100%,25,0,集中,10%,★4ターンの間 俊敏が倍に 場の効果
火柱,炎,65,100%,20,0,集中,20%,★4ターンの間 俊敏が倍に 場の効果
火遊び,炎,55,100%,25,0,扩散,10%,★4ターンの間 俊敏が倍に 場の効果
フレア,炎,70,90%,10,0,扩散,10%,★4ターンの間 俊敏が倍に 場の効果
一符・炎,炎,60,100%,10,0,扩散,10%,★3ターン相手は同じスキルしか使えない
摩擦熱,炎,0,90%,20,0,变化,-,★自分が瀕死になるかわりに次に出す人形の状態異常とHPとPPが全快する
好調ビックウェーブ,水,120,85%,10,0,集中,10%,★3ターン相手は同じスキルしか使えない
滝落,水,100,90%,10,0,集中,10%,★3ターン相手は同じスキルしか使えない
サドンフラッド,水,80,100%,10,0,集中,10%,★次のターン終了時に相手を停止状態に
アイスコフィン,水,80,100%,15,0,集中,20%,★次ターン終了時HPが最大HPの半分回復。交代した場合は交代後の人形が回復
アクアジャベリン,水,75,100%,15,0,集中,20%,★自分の最大HPの50％回復
リバーススプラッシュ,水,60,100%,10,252,集中,10%,★地相発現「朱雀」
アクアソニック,水,40,100%,20,1,扩散,10%,★3ターン相手は同じスキルしか使えない
アクアカッター,水,40,100%,30,1,集中,10%,★3ターン相手は同じスキルしか使えない
アイスマシンガン,水,15,100%,20,1,集中,10%,★自分の集弾・俊敏1段上昇
ウォーターカノン,水,150,100%,5,0,扩散,10%,★地相発現「白虎」
アクアブレス,水,150,100%,5,0,扩散,10%,★自分の集弾・集防・命中1段上昇
コールドレイン,水,120,80%,5,0,扩散,10%,★自分の能力ランクを引き継いで交代
アイスエイジ,水,95,100%,10,0,扩散,10%,★自分の最大HPの50％回復
氷獄,水,95,100%,15,0,扩散,10%,★3ターン相手は同じスキルしか使えない
レイジィミスト,水,80,100%,15,0,扩散,30%,★相手の場にマイントラップを設置する
間欠泉,水,60,100%,10,0,扩散,100%,★次のターン終了時に相手を停止状態に
スライムショット,水,55,95%,15,0,扩散,100%,★自分の最大HPの50％回復
純水のベール,水,40,100%,25,0,扩散,10%,☆自分の集弾・集防1段低下
集中豪雨,水,20,100%,20,0,扩散,10%,☆自分が状態異常の時威力倍　恐怖・暗闇無視
土砂降り,水,0,-,10,0,变化,-,★自分は戦闘不能になる　相手の集弾・散弾2段低下
引き潮,水,0,100%,10,0,变化,-,★自分の集弾・散弾・俊敏2段上昇、集防・散防１段低下
水の舞,水,0,100%,20,0,变化,-,☆溜め　1ターン目に自分の集防ランクを1段階上昇させる
干ばつ,水,0,100%,15,0,变化,-,★相手を恐怖・混乱に
地相発現「玄武」,水,0,-,10,249,变化,-,☆自分の散防1段上昇
ウォーターボール,水,60,100%,30,0,集中,10%,★3ターン相手は同じスキルしか使えない
フロストエッジ,水,65,100%,20,0,集中,10%,★自分の能力ランクを引き継いで交代
シャボン玉,水,60,100%,30,0,扩散,10%,★3ターン相手は同じスキルしか使えない
雪合戦,水,65,100%,20,0,扩散,10%,★自分の最大HPの50％回復
二符・水,水,60,100%,10,0,扩散,10%,★3ターン相手は同じスキルしか使えない
泥濘,水,0,100%,10,0,变化,-,★最後に使われたスキルで相手に攻撃する
タンブルプラント,自然,0,100%,20,0,集中,10%,☆HP吸収与えたダメージの1/2
ルートフローグ,自然,120,85%,10,0,集中,10%,★3ターン相手は同じスキルしか使えない
桃弧棘矢,自然,120,100%,15,0,集中,10%,★自分の集弾・集防1段上昇
飢餓の声,自然,95,100%,15,0,集中,10%,★相手の場にマイントラップを設置する
花鳥風月,自然,90,100%,15,0,集中,20%,★自分のHPを最大HPの半分減　自分の集弾を最大まで上昇
グラスジャベリン,自然,75,100%,15,0,集中,10%,★相手の場にマイントラップを設置する
パワードレイン,自然,75,100%,10,0,集中,10%,☆固定ダメージ（自分のレベル）
雀蜂の舞,自然,25,100%,30,0,集中,10%,★自分の集弾・俊敏1段上昇
桜吹雪,自然,150,100%,5,0,扩散,10%,★自分の集弾・集防・命中1段上昇
狂い咲き,自然,130,90%,5,0,扩散,100%,★自分の集弾1段上昇
散華野分舞,自然,120,100%,10,0,扩散,10%,☆自分が装飾品を持っていない時のみ使用可能 相手を毒に
彩光百花,自然,120,100%,10,0,扩散,10%,☆自分の俊敏1段上昇
ミストフォッグ,自然,95,100%,10,0,扩散,10%,★自分の回避1段上昇
エナジーアブソーブ,自然,75,100%,10,0,扩散,10%,☆固定ダメージ（自分のレベル）
木葉の螺旋道,自然,60,-,20,0,扩散,10%,★3ターン相手は同じスキルしか使えない
森林浴,自然,0,-,5,0,变化,-,★相手の場にバインドトラップ効果
命の泉,自然,0,-,20,0,变化,-,☆相手のFプロテクト・Fバリアの効果を受けず、それを壊す
茨の蔦,自然,0,-,10,4,变化,-,☆自分は戦闘不能になる　集防散防半減計算
ドレインシード,自然,0,90%,10,0,变化,-,☆相手の散弾1段低下
マナの恵み,自然,0,-,10,0,变化,-,★自分の集弾・命中1段上昇
白百合の舞,自然,0,-,10,0,变化,-,☆相手の装飾品を奪う
フェアリーダンス,自然,0,-,20,0,变化,-,★自分の場にＦプロテクト効果（相手の集弾スキル半減）
ホワイトミスト,自然,0,-,20,0,变化,-,★自分の属性を相手の属性と同じにする
神秘の風,自然,0,-,10,0,变化,-,★相手が次の行動をするまで相手のスキルは雷属性になる
幻惑の花粉,自然,0,60%,15,0,变化,-,★自分と相手の集弾・散弾ランクを入れ替える
妖虫の鱗粉,自然,0,75%,30,0,变化,-,★自分と相手の現在HPを平均する
地相発現「青龍」,自然,0,-,10,255,变化,-,☆自分の現在ＨＰが多いほど威力が上がる
胡蝶の舞,自然,0,-,20,0,变化,-,☆溜め 溜めてる間 ほとんどのスキル無効 　防御結界無効
パラサイト,自然,35,100%,25,0,集中,10%,☆固定ダメージ（自分のレベル）
リンゴ爆弾,自然,60,95%,20,0,集中,10%,★次のターン終了時に相手を停止状態に
豆まき,自然,60,100%,30,0,扩散,10%,★3ターン相手は同じスキルしか使えない
雪月花,自然,65,100%,10,0,扩散,10%,★自分の回避1段上昇
三符・自然,自然,60,100%,10,0,扩散,10%,★3ターン相手は同じスキルしか使えない
根流し,自然,0,75%,30,0,变化,-,★自分が停止状態でない時失敗。自分のスキルのうち1つをランダムで使う
震天動地,大地,0,30%,8,0,集中,10%,☆固定ダメージ（このターン受けた集中ダメージの倍）
天変地異,大地,150,100%,5,0,集中,10%,★自分の集弾・集防・命中1段上昇
シューティングプレス,大地,100,100%,10,0,集中,10%,★3ターン相手は同じスキルしか使えない
グランドリベレイト,大地,80,100%,10,0,集中,10%,★次のターン終了時に相手を停止状態に
ロイヤルプリズム,大地,75,90%,10,0,集中,30%,★次ターン終了時HPが最大HPの半分回復。交代した場合は交代後の人形が回復
スクリューロック,大地,70,90%,10,0,集中,100%,★次のターン終了時に相手を停止状態に
ストーンスパイク,大地,60,100%,20,0,集中,100%,★自分の最大HPの50％回復
砂塵,大地,60,100%,10,0,集中,30%,★相手のランク補正を自分にコピーする
飛礫の流弾,大地,50,90%,10,0,集中,10%,☆連続2～5回
塵旋の門,大地,20,100%,20,0,集中,10%,☆自分が状態異常の時威力倍　恐怖・暗闇無視
霊石乱舞,大地,25,100%,10,0,集中,10%,★自分の集弾・俊敏1段上昇
土石の荒波,大地,95,100%,10,0,扩散,10%,★相手のランク補正を自分にコピーする
不安定な地平線,大地,90,85%,10,0,扩散,30%,★相手のランク補正を自分にコピーする
ジュエリーストーム,大地,80,100%,20,0,扩散,10%,★3ターン相手は同じスキルしか使えない
山崩れ,大地,65,100%,10,0,扩散,10%,★地相発現「玄武」
ストーンサークル,大地,60,100%,5,0,扩散,10%,★自分の俊敏1段上昇
マイントラップ,大地,0,-,20,0,变化,-,☆反動ダメージ1/3　相手を恐怖に
気象発現「黄砂」,大地,0,-,10,0,变化,-,☆自分の現在HPが少ないほど威力が上がる
どろだんご,大地,60,100%,30,0,集中,10%,★3ターン相手は同じスキルしか使えない
ストーンレイン,大地,65,100%,20,0,集中,20%,★次ターン終了時HPが最大HPの半分回復。交代した場合は交代後の人形が回復
石礫,大地,55,100%,15,0,扩散,100%,★相手のランク補正を自分にコピーする
崖崩れ,大地,75,80%,25,0,扩散,10%,★相手のランク補正を自分にコピーする
四符・大地,大地,60,100%,10,0,扩散,10%,★3ターン相手は同じスキルしか使えない
地走り,大地,0,-,20,0,变化,-,★自分の散弾2段上昇
霞払い,钢铁,0,100%,10,0,集中,10%,☆HP吸収与えたダメージの1/2
リフレクションミラー,钢铁,0,100%,10,0,集中,10%,☆痛烈になりやすい
インパクトリベリオン,钢铁,0,100%,5,0,集中,10%,☆5ターンの間 能力を下げられなくなる　自分の場
鉄塊フルクラッシュ,钢铁,150,80%,5,0,集中,10%,★自分の集弾・集防1段上昇、俊敏１段低下
菊水,钢铁,120,85%,10,0,集中,10%,★自分と相手の人形の能力ランクを元に戻す
一閃,钢铁,120,100%,10,0,集中,10%,★自分の集弾・集防1段上昇
鎧通し,钢铁,90,100%,15,0,集中,10%,★次ターン終了時HPが最大HPの半分回復。交代した場合は交代後の人形が回復
キリングバイト,钢铁,70,90%,10,0,集中,100%,★次のターン終了時に相手を停止状態に
返しの刃,钢铁,60,-,20,0,集中,10%,★3ターン相手は同じスキルしか使えない
抜打,钢铁,40,100%,30,1,集中,10%,★3ターン相手は同じスキルしか使えない
ラストスラッシュ,钢铁,100,100%,5,0,扩散,100%,☆天候によって威力・属性変化
銀色の雨,钢铁,95,100%,10,0,扩散,10%,★自分と相手を破滅状態にする
クロームレイ,钢铁,90,100%,10,0,扩散,10%,☆なんらかの天候の時威力倍、成功した時天候解除
シェイクギア,钢铁,50,90%,10,0,扩散,10%,☆連続2～5回
クイックスロー,钢铁,25,100%,15,0,扩散,10%,★自分の集弾・俊敏1段上昇
集中之構,钢铁,0,-,15,0,变化,-,★相手の散防2段低下
奮闘之構,钢铁,0,-,20,0,变化,-,★自分の散弾・散防・俊敏1段上昇
猛進之構,钢铁,0,-,10,0,变化,-,★相手のアビリティを活発にする
鉄壁之構,钢铁,0,-,15,0,变化,-,★自分の散弾・散防1段上昇
虎視眈々,钢铁,0,-,5,0,变化,-,☆溜め　極光時溜め無し　極光以外の天候の時威力半減
地相発現「白虎」,钢铁,0,-,10,0,变化,-,☆自分の散弾2段低下
ステルストラップ,钢铁,0,-,20,0,变化,-,☆反動ダメージ1/2
ザ・リッパー,钢铁,60,95%,25,0,集中,10%,★次のターン終了時に相手を停止状態に
ハンマー投げ,钢铁,70,100%,20,0,集中,10%,★次のターン終了時に相手を停止状態に
ナイフ投げ,钢铁,55,100%,25,0,扩散,10%,★自分の回避2段上昇「カモフラージュ」
メタルニードル,钢铁,65,100%,15,0,扩散,20%,★自分と相手を破滅状態にする
五符・鋼鉄,钢铁,60,100%,10,0,扩散,10%,★3ターン相手は同じスキルしか使えない
一意専心,钢铁,0,-,20,0,变化,-,★戦闘不能になるスキルを受けてもHP1で耐える。連続で出すと失敗しやすい
幻想郷直撃タイフーン,风,140,100%,5,0,集中,30%,★自分の集弾1段、俊敏2段上昇
風炎フェーン,风,120,100%,15,0,集中,10%,★自分の集弾・集防1段上昇
ウィンドジャベリン,风,75,100%,15,0,集中,10%,★次ターン終了時HPが最大HPの半分回復。交代した場合は交代後の人形が回復
ショックスタンプ,风,55,95%,10,250,集中,10%,★自分の集弾と集防を入れ替える　ランクは変化しない
盗難の風,风,60,100%,20,0,集中,10%,☆相手が攻撃スキルを選び、かつ先攻の場合成功する
風の列車,风,60,-,20,0,集中,10%,★3ターン相手は同じスキルしか使えない
ツイスター,风,25,100%,30,0,集中,10%,★自分の集弾・俊敏1段上昇
大竜巻,风,20,100%,20,0,集中,10%,☆自分が状態異常の時威力倍　恐怖・暗闇無視
マクロバースト,风,120,80%,5,0,扩散,30%,★最後に使用した装飾品を手にいれる。自分がすでに装飾品を持っている時は失敗
神速エアレイド,风,80,100%,20,0,扩散,20%,★次ターン終了時HPが最大HPの半分回復。交代した場合は交代後の人形が回復
ウィンドウェイブ,风,75,95%,15,0,扩散,30%,★次ターン終了時HPが最大HPの半分回復。交代した場合は交代後の人形が回復
舞風,风,60,100%,5,0,扩散,10%,★自分の俊敏1段上昇
スマッシュスピン,风,50,100%,15,0,扩散,10%,☆相手が交代する際にスキルを出すと交代前に発動威力倍
春一番,风,40,100%,30,1,扩散,10%,★3ターン相手は同じスキルしか使えない
風神の加護,风,0,-,30,0,变化,-,☆相手が装飾品を持つ場合、威力が1.5倍、装飾品を持たない状態に
突風,风,0,-,20,250,变化,-,★自分の集弾2段上昇
止まり木,风,0,-,15,0,变化,-,☆相手の散防2段低下
順風,风,0,-,15,0,变化,-,★相手の最後に使ったスキルのSPを4減らす
韋駄天,风,0,-,30,0,变化,-,★自分の散弾2段上昇
気象発現「凪」,风,0,-,10,0,变化,-,☆自分の5ステ1段上昇
フェザーショット,风,60,100%,30,0,集中,10%,★3ターン相手は同じスキルしか使えない
木枯らし,风,55,95%,20,0,集中,10%,★次のターン終了時に相手を停止状態に
小夜嵐,风,60,100%,30,0,扩散,10%,★3ターン相手は同じスキルしか使えない
偏西風,风,65,100%,20,0,扩散,20%,★自分の5ステからランダムに1段上昇
六符・風,风,60,100%,10,0,扩散,10%,★3ターン相手は同じスキルしか使えない
太刀風,风,0,-,10,0,变化,-,★自分の属性を、自分の1番上のスキルと同じ属性に変える
トールハンマー,雷,120,100%,15,0,集中,10%,★相手を火傷・暗闇に
雷切,雷,90,100%,15,0,集中,10%,★自分の5ステからランダムに1段上昇
スパークジャベリン,雷,75,100%,15,0,集中,10%,★毎ターンＨＰ1/16回復 交代できなくなる
プラズマボール,雷,20,100%,20,0,集中,100%,★毎ターンＨＰ1/16回復 交代できなくなる
雷帝インディグネイト,雷,120,85%,10,0,扩散,10%,★毎ターンＨＰ1/16回復 交代できなくなる
神鳴,雷,120,50%,5,0,扩散,100%,★毎ターンＨＰ1/16回復 交代できなくなる
サンダーフォース,雷,95,100%,15,0,扩散,10%,★毎ターンＨＰ1/16回復 交代できなくなる
雷雲の瞳,雷,80,100%,15,0,扩散,30%,★毎ターンＨＰ1/16回復 交代できなくなる
盗電チャージング,雷,75,100%,20,0,扩散,10%,☆固定ダメージ（自分のレベル）
疾風迅雷,雷,70,100%,20,0,扩散,10%,★自分の集防1段上昇
スパーククロス,雷,60,100%,10,0,扩散,100%,★自分の最大HPの50％回復
紫電,雷,50,90%,10,0,扩散,70%,★自分と相手を破滅状態にする
ライトニングチャージ,雷,0,-,20,0,变化,-,☆相手を怯み　相手がカモフラージュ状態の時必中威力倍
強力磁場,雷,0,-,5,0,变化,-,☆相手を麻痺or暗闇or恐怖
ウェーブパライズ,雷,0,85%,15,0,变化,-,★相手を吹き飛ばす
サンダーベール,雷,0,100%,20,0,变化,-,★自分と相手の現在HPを平均する
スパークショット,雷,55,100%,25,0,集中,10%,★毎ターンＨＰ1/16回復 交代できなくなる
ボルトグレイズ,雷,65,100%,20,0,集中,20%,★毎ターンＨＰ1/16回復 交代できなくなる
雷撃,雷,55,100%,25,0,扩散,10%,★毎ターンＨＰ1/16回復 交代できなくなる
エナジーボルト,雷,65,100%,20,0,扩散,10%,★自分の能力ランクを引き継いで交代
七符・雷,雷,60,100%,10,0,扩散,10%,★3ターン相手は同じスキルしか使えない
雷鳴,雷,0,-,1,3,变化,-,☆溜め・相手を怯み・痛烈1
ルミナスフラックス,光,120,100%,15,0,集中,10%,★自分の集弾・集防1段上昇
破邪の弓撃,光,90,100%,10,0,集中,10%,★次ターン終了時HPが最大HPの半分回復。交代した場合は交代後の人形が回復
アトミックエナジー,光,75,100%,10,0,集中,10%,☆固定ダメージ（自分のレベル）
ライトジャベリン,光,75,100%,15,0,集中,10%,★最後に使用した装飾品を手にいれる。自分がすでに装飾品を持っている時は失敗
天光の舞,光,60,100%,10,0,集中,10%,☆自分の集弾1段上昇
オーバーレイ,光,40,100%,20,1,集中,10%,★3ターン相手は同じスキルしか使えない
パルスレーザー,光,150,100%,5,0,扩散,10%,★自分の集弾・集防・命中1段上昇
アークライト,光,130,90%,5,0,扩散,100%,★自分の集弾1段上昇
ムーンボウ,光,95,100%,15,0,扩散,10%,★最後に使用した装飾品を手にいれる。自分がすでに装飾品を持っている時は失敗
スターフレア,光,80,100%,10,0,扩散,20%,★相手のランク補正を自分にコピーする
フィールドバリア,光,0,-,30,0,变化,-,★相手の場にステルストラップを設置する
フィールドプロテクト,光,0,-,20,0,变化,-,★相手の俊敏2段低下
幸運の虹,光,0,-,25,0,变化,-,☆相手が毒・猛毒状態の時威力倍
太陽の加護,光,0,-,40,0,变化,-,☆相手を恐怖に
月の加護,光,0,-,20,0,变化,-,★自分の状態異常を相手にうつし自分は回復する
占星,光,0,100%,20,0,变化,-,★自分の散弾3段上昇
皆既日食,光,0,75%,10,0,变化,-,★相手を混乱に
閃光弾,光,0,100%,10,0,变化,-,★自分と相手の集弾と散弾を平均する
気象発現「極光」,光,0,-,10,0,变化,-,☆自分の5ステからランダムに1段上昇
ライトアップ,光,55,100%,20,0,集中,10%,★次のターン終了時に相手を停止状態に
エンジェルラダー,光,70,90%,20,0,集中,20%,★相手のランク補正を自分にコピーする
原初の光,光,60,100%,30,0,扩散,10%,★3ターン相手は同じスキルしか使えない
乱反射レーザー,光,65,100%,20,0,扩散,20%,★次ターン終了時HPが最大HPの半分回復。交代した場合は交代後の人形が回復
八符・光,光,60,100%,10,0,扩散,10%,★3ターン相手は同じスキルしか使えない
集いし星,光,0,-,20,0,变化,-,★戦闘不能になるスキルを受けてもHP1で耐える。連続で出すと失敗しやすい
宵闇インフェクション,暗,120,85%,10,0,集中,10%,★3ターン相手は同じスキルしか使えない
ダークスフィア,暗,100,90%,10,0,集中,20%,★相手を水属性にする
ブラックアウト,暗,75,100%,15,0,集中,30%,★5ターンの間 状態異常にかからなくなる。場の効果
チェンジリング,暗,70,100%,20,0,集中,10%,★自分の集防1段上昇
パニックコール,暗,65,100%,10,0,集中,10%,☆固定ダメージ（相手現在HP-自分現在HP）
ロストクライシス,暗,60,100%,10,0,集中,10%,☆自分の集防・散防1段低下
ダークアロー,暗,50,90%,15,0,集中,10%,☆連続2～5回
無知の闇,暗,25,100%,20,0,集中,10%,★自分の集弾・俊敏1段上昇
暗黒演舞,暗,120,100%,10,0,扩散,10%,☆自分が装飾品を持っていない時のみ使用可能 相手を毒に
ダークネススイーツ,暗,95,100%,10,0,扩散,10%,★5ターンの間 状態異常にかからなくなる。場の効果
ラプラスの目,暗,80,100%,10,0,扩散,10%,★次のターン終了時に相手を停止状態に
無限の闇,暗,20,100%,20,0,扩散,10%,☆自分が状態異常の時威力倍　恐怖・暗闇無視
シャークトレード,暗,0,100%,10,0,变化,-,☆相手を火傷に　痛烈になりやすい
ブラックホール,暗,0,-,5,0,变化,-,☆相手の散防1段低下
人形の怨返し,暗,0,100%,10,0,变化,-,★相手の俊敏1段低下
シャドウパワー,暗,0,-,20,0,变化,-,★状態変化1/4ダメージ
バインドトラップ,暗,0,-,20,0,变化,-,☆反動ダメージ1/3
甘い悪夢,暗,0,85%,10,0,变化,-,★自分すべての人形の状態異常を治す
気象発現「濃霧」,暗,0,-,10,0,变化,-,☆自分のコストが相手より高いほど威力が上がる
ダークボール,暗,55,100%,25,0,集中,10%,★5ターンの間 状態異常にかからなくなる。場の効果
一人ぼっちの影人形,暗,65,100%,20,0,集中,10%,★5ターンの間 状態異常にかからなくなる。場の効果
バッドムーン,暗,55,100%,25,0,扩散,10%,★5ターンの間 状態異常にかからなくなる。場の効果
ブラッディストーム,暗,65,100%,20,0,扩散,10%,★次ターン終了時HPが最大HPの半分回復。交代した場合は交代後の人形が回復
九符・闇,暗,60,100%,10,0,扩散,10%,★3ターン相手は同じスキルしか使えない
夜陰,暗,0,-,20,0,变化,-,★相手の最後に使ったスキルのSPを4減らす
ベノムノヴァ,毒,120,85%,5,0,集中,10%,★3ターンの間 、相手は攻撃スキルしか出せなくなる
ダストボム,毒,80,100%,15,0,集中,30%,★3ターンの間 、相手は攻撃スキルしか出せなくなる
毒矢,毒,80,100%,10,0,集中,10%,★相手の場にポイズントラップを設置する
ヴェノムストライク,毒,120,100%,10,0,扩散,20%,☆次のターン反動で動けない
ポイズンボム,毒,95,100%,10,0,扩散,10%,★3ターンの間 、相手は攻撃スキルしか出せなくなる
汚濁の牙,毒,80,100%,15,0,扩散,30%,★3ターンの間 、相手は攻撃スキルしか出せなくなる
ナゾの液体,毒,65,100%,10,0,扩散,10%,★相手を無防備状態にする
ネガティブミスト,毒,60,-,15,0,扩散,10%,☆なんらかの地相の時威力倍、成功した時地相解除
毒々スパイラル,毒,40,100%,20,0,扩散,100%,★相手のアビリティを自分と同じアビリティに変える
ポイズントラップ,毒,0,-,20,0,变化,-,☆反動ダメージ1/3　相手を火傷に
ミアズマ,毒,0,90%,10,0,变化,-,★自分と相手の集防・散防ランクを入れ替える
パープルスモッグ,毒,55,100%,25,0,集中,10%,★3ターンの間 、相手は攻撃スキルしか出せなくなる
ヘドロボール,毒,65,100%,10,0,集中,20%,★相手の能力ランクを反転させる
煙幕弾,毒,55,100%,30,0,扩散,30%,★3ターンの間 、相手は攻撃スキルしか出せなくなる
猛毒ガス,毒,65,100%,10,0,扩散,20%,★相手の能力ランクを反転させる
十一符・毒,毒,60,100%,10,0,扩散,10%,★3ターン相手は同じスキルしか使えない
