地图ID,地图名,人形,等级,形态,概率,遇敌类型
210,八雲の隠れ家,ゆかり,70,防御,14%,0
260,魔界,サラ,58,普通,15%,0
260,魔界,ルイズ,58,普通,15%,0
260,魔界,アリス,58,普通,7%,0
260,魔界,ユキ,58,普通,7%,0
260,魔界,マイ,58,普通,7%,0
260,魔界,ゆめこ,58,普通,6%,0
260,魔界,しんき,58,普通,3%,0
270,霧の湖,だいようせい,19,普通,17%,0
270,霧の湖,チルノ,19,普通,15%,0
270,霧の湖,わかさぎひめ,19,普通,12%,0
270,霧の湖,めいりん,19,普通,12%,0
270,霧の湖,ぬえ,19,普通,4%,0
270,霧の湖,リリカ,19,普通,30%,1
270,霧の湖,メルラン,19,普通,30%,1
270,霧の湖,ルナサ,19,普通,30%,1
270,霧の湖,カナ,19,普通,10%,1
271,氷の洞窟,チルノ,23,普通,10%,0
271,氷の洞窟,レティ,23,普通,10%,0
271,氷の洞窟,ユキ,23,普通,5%,0
271,氷の洞窟,マイ,23,普通,5%,0
272,氷の洞窟,チルノ,70,防御,9%,0
272,氷の洞窟,レティ,70,力量,8%,0
272,氷の洞窟,ユウゲンマガン,70,防御,7%,0
272,氷の洞窟,エリス,70,防御,3%,0
272,氷の洞窟,サリエル,70,力量,3%,0
284,紅魔館,こあくま,22,普通,12%,0
284,紅魔館,パチュリー,22,普通,8%,0
284,紅魔館,さくや,22,普通,6%,0
284,紅魔館,レミリア,22,普通,3%,0
284,紅魔館,フランドール,22,普通,1%,0
285,紅魔館,こあくま,23,普通,12%,0
285,紅魔館,パチュリー,23,普通,8%,0
285,紅魔館,さくや,23,普通,6%,0
285,紅魔館,レミリア,23,普通,3%,0
285,紅魔館,フランドール,23,普通,1%,0
310,地霊殿への道,パルスィ,36,普通,10%,0
310,地霊殿への道,ゆうぎ,36,普通,7%,0
310,地霊殿への道,すいか,36,普通,7%,0
310,地霊殿への道,かせん,36,普通,3%,0
310,地霊殿への道,ぬえ,36,普通,3%,0
311,地霊殿,りん,37,普通,22%,0
311,地霊殿,さとり,37,普通,19%,0
311,地霊殿,うつほ,37,普通,14%,0
311,地霊殿,こいし,37,普通,5%,0
320,灼熱地獄跡地,りん,38,普通,8%,0
320,灼熱地獄跡地,うつほ,38,普通,8%,0
320,灼熱地獄跡地,ゆうぎ,38,普通,8%,0
320,灼熱地獄跡地,キクリ,38,普通,4%,0
320,灼熱地獄跡地,コンガラ,38,普通,2%,0
410,一の道,だいようせい,3,普通,19%,0
410,一の道,ナズーリン,3,普通,19%,0
410,一の道,ちぇん,3,普通,19%,0
410,一の道,しんみょうまる,3,普通,3%,0
420,二の道,ミミちゃん＆る～こと,32,普通,17%,0
420,二の道,せきばんき,32,普通,16%,0
420,二の道,こがさ,32,普通,16%,0
420,二の道,ちゆり,32,普通,8%,0
420,二の道,ゆめみ,32,普通,3%,0
421,地底への洞窟,キスメ,33,普通,9%,0
421,地底への洞窟,ヤマメ,33,普通,9%,0
421,地底への洞窟,パルスィ,33,普通,6%,0
421,地底への洞窟,ゆうぎ,33,普通,3%,0
421,地底への洞窟,すいか,33,普通,3%,0
430,三の道,きょうこ,15,普通,17%,0
430,三の道,ことひめ,15,普通,16%,0
430,三の道,べんべん,15,普通,12%,0
430,三の道,やつはし,15,普通,12%,0
430,三の道,ぬえ,15,普通,3%,0
440,四の道,くるみ,16,普通,18%,0
440,四の道,エリー,16,普通,18%,0
440,四の道,ミスティア,16,普通,13%,0
440,四の道,せいじゃ,16,普通,8%,0
440,四の道,マミゾウ,16,普通,18%,0
450,五の道,ときこ,9,普通,12%,0
450,五の道,ミスティア,9,普通,12%,0
450,五の道,ルーミア,9,普通,12%,0
450,五の道,リグル,9,普通,12%,0
450,五の道,りか,9,普通,10%,0
450,五の道,リリー,9,普通,12%,0
450,五の道,オレンジ,19,普通,16%,1
450,五の道,ルーミア,19,普通,16%,1
450,五の道,ときこ,19,普通,16%,1
450,五の道,ミスティア,19,普通,16%,1
450,五の道,りんのすけ,19,普通,16%,1
460,六の道,だいようせい,41,普通,10%,0
460,六の道,リリー,41,普通,10%,0
460,六の道,ルイズ,41,普通,12%,0
460,六の道,めいら,41,普通,12%,0
460,六の道,マミゾウ,41,普通,6%,0
460,六の道,だいようせい,41,防御,5%,0
460,六の道,リリー,41,防御,5%,0
470,七の道,せきばんき,46,普通,10%,0
470,七の道,べんべん,46,普通,9%,0
470,七の道,やつはし,46,普通,9%,0
470,七の道,せいじゃ,46,普通,11%,0
470,七の道,らいこ,46,普通,6%,0
470,七の道,せきばんき,46,力量,5%,0
470,七の道,べんべん,46,力量,5%,0
470,七の道,やつはし,46,力量,5%,0
480,八の道,オレンジ,43,普通,13%,0
480,八の道,くるみ,43,普通,13%,0
480,八の道,エリー,43,普通,13%,0
480,八の道,むげつ,43,普通,3%,0
480,八の道,げんげつ,43,普通,3%,0
480,八の道,オレンジ,43,防御,5%,0
480,八の道,くるみ,43,力量,5%,0
480,八の道,エリー,43,力量,5%,0
481,丘の洞窟,サラ,43,普通,10%,0
481,丘の洞窟,ヤマメ,43,普通,5%,0
481,丘の洞窟,キスメ,43,普通,5%,0
481,丘の洞窟,こいし,43,普通,4%,0
481,丘の洞窟,ヤマメ,43,力量,3%,0
481,丘の洞窟,キスメ,43,防御,3%,0
500,再思の道,ナズーリン,26,普通,18%,0
500,再思の道,メディスン,26,普通,18%,0
500,再思の道,こまち,26,普通,15%,0
500,再思の道,えいき,26,普通,9%,0
500,再思の道,ナズーリン,26,普通,20%,1
500,再思の道,メディスン,26,普通,20%,1
500,再思の道,こまち,26,普通,15%,1
500,再思の道,えいき,26,普通,5%,1
