ID,名称,形态,属性1,属性2,特性1,特性2,HP,集攻,集防,散攻,散防,俊敏
27,げんげつ,力量,幻,光,洞察力,第六感,90,135,70,70,85,75
27,げんげつ,速度,幻,光,光のカーテン,早目,65,120,45,120,45,130
29,サラ,普通,大地,NULL,不退転,治癒力,75,60,65,20,30,50
29,サラ,防御,大地,NULL,不退転,気質発現「黄砂」,125,95,115,40,50,70
29,サラ,速度,大地,NULL,やり繰り上手,狙い撃ち,100,70,85,65,70,105
30,ルイズ,普通,风,NULL,楽天家,ピースフル,45,30,30,55,55,55
30,ルイズ,力量,风,NULL,楽天家,幸運,75,75,60,95,90,85
30,ルイズ,辅助,风,NULL,楽天家,気質発現「凪」,75,55,95,85,60,110
31,アリス,普通,钢铁,光,封殺,冷静沈着,70,35,45,65,40,40
31,アリス,力量,钢铁,光,後の先,冷静沈着,105,60,95,120,80,55
31,アリス,防御,钢铁,幻,封殺,冷静沈着,120,60,115,80,85,55
32,ユキ,普通,炎,NULL,火炎の衣,ポジティブ,55,40,40,60,40,60
32,ユキ,速度,炎,NULL,火炎の衣,突貫,85,60,70,100,60,115
32,ユキ,力量,炎,水,火炎の衣,ポジティブ,70,75,70,125,60,90
33,マイ,普通,水,NULL,ポーカーフェイス,闇の力,60,65,65,30,40,35
33,マイ,力量,水,NULL,ポーカーフェイス,闇の力,100,100,90,60,80,60
33,マイ,防御,水,炎,ポーカーフェイス,気勢崩し,90,80,110,60,90,60
35,ゆめこ,普通,钢铁,NULL,威圧,士気向上,55,70,40,50,50,55
35,ゆめこ,力量,钢铁,NULL,威圧,士気向上,90,130,75,80,85,80
35,ゆめこ,速度,钢铁,NULL,一斉射撃,兵法者,70,110,65,100,80,115
36,しんき,普通,幻,暗,強者の微笑,全天候型,60,60,45,75,55,55
36,しんき,力量,幻,暗,強者の微笑,全天候型,95,115,80,130,100,80
36,しんき,速度,幻,光,強者の微笑,闇の衣,95,105,90,125,90,95
37,ルーミア,普通,暗,NULL,深淵なる黒,陰の気質,35,60,55,35,30,50
37,ルーミア,防御,暗,NULL,闇の衣,なし,60,100,120,50,120,30
37,ルーミア,力量,暗,NULL,残虐,陰の気質,60,50,60,145,60,105
38,だいようせい,普通,自然,NULL,望遠,幻惑,50,30,40,45,55,40
38,だいようせい,防御,自然,NULL,望遠,幻惑,80,50,80,80,110,55
38,だいようせい,速度,自然,NULL,望遠,攻め上手,80,50,65,90,85,85
39,チルノ,普通,水,NULL,好奇心,活発,50,40,30,60,30,60
39,チルノ,辅助,水,NULL,好奇心,活発,95,55,95,85,65,80
39,チルノ,力量,水,自然,猪武者,アップテンポ,70,120,40,100,40,105
40,めいりん,普通,斗,NULL,しなやかな躰,剛健なる山吹,60,70,40,40,40,50
40,めいりん,速度,斗,NULL,しなやかな躰,不退転,80,130,50,55,80,105
40,めいりん,防御,斗,大地,気質発現「黄砂」,剛健なる山吹,90,100,125,30,70,85
41,こあくま,普通,暗,NULL,治癒力,浸透戦術,50,30,45,55,65,45
41,こあくま,防御,暗,NULL,治癒力,浸透戦術,80,55,80,75,115,65
41,こあくま,辅助,暗,NULL,呪詛返し,浸透戦術,80,50,60,70,100,110
42,パチュリー,普通,无,NULL,共鳴,不動の構え,35,40,30,85,85,30
42,パチュリー,力量,炎,水,共鳴,不動の構え,55,70,35,145,155,55
42,パチュリー,防御,雷,自然,共鳴,慧眼,100,65,80,130,70,70
43,さくや,普通,钢铁,幻,ポーカーフェイス,身軽,45,70,40,50,40,65
43,さくや,速度,钢铁,幻,ポーカーフェイス,身軽,70,110,70,95,70,110
43,さくや,力量,钢铁,斗,兵法者,身軽,80,135,100,70,80,60
44,レミリア,普通,暗,风,霧隠れ,深淵なる黒,40,60,35,70,40,70
44,レミリア,力量,暗,风,霧隠れ,突貫,55,115,70,120,70,110
44,レミリア,速度,暗,斗,霧隠れ,深淵なる黒,70,70,80,110,80,130
45,フランドール,普通,暗,光,癇癪持ち,威圧,35,70,35,70,35,70
45,フランドール,速度,暗,光,癇癪持ち,縦横無尽,70,120,60,120,60,110
45,フランドール,力量,暗,炎,癇癪持ち,威圧,50,115,90,145,60,80
46,レティ,普通,水,NULL,死守,水の恵み,65,35,50,55,65,30
46,レティ,力量,水,NULL,死守,水の恵み,90,60,75,100,110,50
46,レティ,防御,水,自然,五分の意地,水の恵み,110,80,70,85,75,65
47,ちぇん,普通,风,NULL,しなやかな躰,自由奔放,40,30,35,60,35,60
47,ちぇん,速度,风,NULL,しなやかな躰,自由奔放,65,45,75,90,70,135
47,ちぇん,辅助,风,大地,得意分野,逆風,60,50,85,80,85,120
48,リリー,普通,无,NULL,持ち腐れ,抗体持ち,55,25,40,45,50,40
48,リリー,辅助,无,NULL,気質発現「凪」,オートヒーリング,75,55,70,70,100,80
48,リリー,力量,无,自然,煙幕展開,オートヒーリング,80,70,55,100,55,90
49,リリカ,普通,音,冥,吸音,共鳴,40,60,60,30,40,70
49,リリカ,速度,音,冥,吸音,共鳴,60,100,105,45,65,115
49,リリカ,力量,音,幻,吸音,得意分野,75,55,65,115,85,95
50,メルラン,普通,音,冥,吸音,楽天家,60,55,40,65,40,40
50,メルラン,辅助,音,冥,吸音,アップテンポ,100,70,80,95,75,60
50,メルラン,力量,音,斗,吸音,楽天家,65,120,75,90,75,65
51,ルナサ,普通,音,冥,吸音,封殺,45,55,55,40,75,30
51,ルナサ,辅助,音,冥,吸音,封殺,80,110,55,55,130,60
51,ルナサ,防御,音,毒,吸音,スローテンポ,40,55,155,55,145,40
52,ようむ,普通,钢铁,冥,心眼,疾風,45,70,40,50,30,70
52,ようむ,速度,钢铁,冥,心眼,疾風,70,110,70,100,50,115
52,ようむ,力量,钢铁,NULL,心眼,疾風,80,125,95,55,70,90
53,ゆゆこ,普通,冥,NULL,早目,禍々しき紫黒,70,45,60,65,45,25
53,ゆゆこ,防御,冥,NULL,早目,因果応報,115,85,110,110,75,45
53,ゆゆこ,力量,冥,自然,早目,禍々しき紫黒,90,70,90,125,90,75
54,らん,普通,幻,炎,気勢崩し,撹乱,50,70,50,50,40,65
54,らん,力量,幻,炎,士気向上,妨害戦法,75,125,80,95,70,115
54,らん,防御,幻,大地,気勢崩し,撹乱,100,115,90,65,90,100
55,ゆかり,普通,幻,无,強者の微笑,理不尽,65,40,60,75,60,35
55,ゆかり,力量,幻,无,余裕,なし,120,55,100,150,100,105
55,ゆかり,防御,幻,暗,強者の微笑,理不尽,80,65,140,105,140,50
56,れんこ,普通,无,NULL,ピースフル,なし,50,25,40,40,50,30
56,れんこ,辅助,无,NULL,時を見る人,なし,70,40,65,60,75,40
56,れんこ,速度,光,NULL,星を見る人,なし,70,40,45,65,55,75
57,メリー,普通,无,NULL,ピースフル,なし,50,25,50,40,40,30
57,メリー,防御,无,NULL,結界の守護,なし,90,35,65,60,60,40
57,メリー,力量,幻,NULL,境界へと至る病,なし,90,50,40,55,40,75
58,りんのすけ,普通,无,NULL,収集癖,なし,60,50,50,30,50,30
58,りんのすけ,防御,无,NULL,八咫の鏡,なし,100,50,90,50,90,50
58,りんのすけ,力量,无,钢铁,八咫の鏡,なし,100,80,60,80,60,50
59,ときこ,普通,风,NULL,吹き荒ぶ萌黄,治癒力,50,50,60,35,40,30
59,ときこ,力量,风,NULL,威嚇射撃,治癒力,80,100,95,70,95,35
59,ときこ,辅助,风,无,威嚇射撃,治癒力,95,70,100,70,65,75
60,リグル,普通,自然,暗,霧隠れ,妨害戦法,45,60,40,40,35,50
60,リグル,力量,自然,暗,霧隠れ,妨害戦法,95,110,70,55,70,80
60,リグル,辅助,自然,毒,霧隠れ,薬毒変換,60,70,90,45,110,105
61,ミスティア,普通,音,暗,順風満帆,やり繰り上手,55,30,30,50,65,40
61,ミスティア,防御,音,暗,順風満帆,やり繰り上手,85,90,75,65,115,50
61,ミスティア,力量,音,风,順風満帆,アップテンポ,80,55,80,110,80,75
62,けいね,普通,钢铁,NULL,威圧,説教,60,55,50,30,40,40
62,けいね,防御,钢铁,NULL,ハクタク化,なし,95,95,115,55,80,45
62,けいね,力量,钢铁,光,威圧,説教,75,55,60,125,90,80
63,てゐ,普通,无,NULL,幸運,早目,55,30,30,55,35,70
63,てゐ,辅助,无,NULL,幸運,早目,110,55,55,85,55,115
63,てゐ,力量,幻,NULL,幸運,兵法者,75,90,80,55,80,95
64,ウドンゲ,普通,幻,NULL,精密射撃,混乱誘発,45,60,45,35,70,50
64,ウドンゲ,辅助,幻,NULL,変毒為薬,混乱誘発,70,95,70,85,125,65
64,ウドンゲ,力量,幻,毒,精密射撃,心配性,70,125,70,75,65,105
65,えいりん,普通,毒,水,薬毒変換,応急処置,80,45,40,70,40,45
65,えいりん,辅助,毒,水,薬毒変換,応急処置,145,80,65,120,75,75
65,えいりん,力量,毒,钢铁,薬毒変換,応急処置,125,85,80,130,80,60
66,かぐや,普通,光,NULL,火炎の衣,応急処置,80,30,30,70,75,30
66,かぐや,防御,光,NULL,火炎の衣,応急処置,220,35,10,80,130,55
66,かぐや,力量,光,无,治癒力,なし,120,65,80,130,80,55
67,もこう,普通,炎,NULL,復讐の化身,応急処置,75,50,40,75,30,45
67,もこう,速度,炎,NULL,復讐の化身,応急処置,125,70,50,135,50,100
67,もこう,力量,炎,斗,復讐の化身,不惜身命,100,120,80,100,80,50
68,すいか,普通,斗,大地,突貫,なし,70,60,55,50,40,50
68,すいか,力量,斗,大地,酔っぱらい,なし,140,165,90,100,35,100
68,すいか,防御,斗,炎,突貫,バトルマニア,110,100,100,70,100,60
69,サニー,普通,光,NULL,閃光,活発,45,30,40,65,50,40
69,サニー,辅助,光,NULL,気質発現「極光」,活発,90,55,85,100,85,50
69,サニー,力量,光,炎,閃光,吸光,65,55,70,110,70,95
70,ルナ,普通,光,风,閃光,吸音,35,30,35,60,40,70
70,ルナ,力量,光,风,閃光,吸音,85,55,65,115,65,80
70,ルナ,速度,光,音,気質発現「極光」,吸音,75,55,65,90,55,125
71,スター,普通,光,水,光のカーテン,アウロラの恩恵,60,45,50,30,55,30
71,スター,力量,光,水,光のカーテン,得意分野,95,120,70,55,80,40
71,スター,防御,光,幻,気質発現「極光」,アウロラの恩恵,95,55,80,70,120,45
72,メディスン,普通,毒,自然,ポイズンボディ,毒の茨,40,55,60,20,75,40
72,メディスン,防御,毒,自然,ポイズンボディ,因果応報,60,80,90,40,130,70
72,メディスン,力量,毒,NULL,ポイズンボディ,毒の茨,50,110,85,40,100,85
73,あや,普通,风,NULL,疾風,自由奔放,60,60,50,30,30,75
73,あや,速度,风,NULL,疾風,自由奔放,90,80,100,50,60,145
73,あや,力量,风,斗,疾風,一斉射撃,80,105,70,90,50,130
74,こまち,普通,水,冥,水の恵み,封殺,60,65,40,40,60,40
74,こまち,辅助,水,冥,水の恵み,封殺,90,100,70,60,130,75
74,こまち,力量,水,钢铁,兵法者,気分屋,110,130,75,60,100,50
75,えいき,普通,光,斗,説教,第六感,75,75,40,45,40,40
75,えいき,力量,光,斗,説教,天衣無縫,120,140,70,90,70,60
75,えいき,防御,光,冥,説教,理不尽,100,75,110,75,110,80
76,あきゅう,普通,无,NULL,好奇心,スローテンポ,35,40,35,40,35,50
76,あきゅう,防御,无,NULL,好奇心,スローテンポ,50,60,70,55,65,50
76,あきゅう,辅助,幻,自然,虚弱体質,なし,1,70,45,70,45,40
77,よりひめ,普通,钢铁,光,洞察力,狙い撃ち,65,70,50,55,45,65
77,よりひめ,力量,钢铁,光,洞察力,狙い撃ち,100,120,85,100,70,105
77,よりひめ,速度,钢铁,雷,洞察力,不動の構え,80,130,90,90,70,120
78,とよひめ,普通,水,大地,楽天家,天衣無縫,60,55,60,70,65,40
78,とよひめ,防御,水,大地,楽天家,天衣無縫,100,80,100,120,110,70
78,とよひめ,力量,水,风,楽天家,天衣無縫,120,75,90,130,100,65
79,ぎょくと,普通,无,NULL,常識破り,心配性,45,30,40,60,45,65
79,ぎょくと,速度,无,水,幸運,兵法者,70,30,60,95,65,125
79,ぎょくと,力量,无,NULL,常識破り,心配性,60,115,65,85,65,60
80,しずは,普通,自然,NULL,陰の気質,抗体持ち,65,60,40,30,50,50
80,しずは,速度,自然,NULL,陰の気質,好奇心,70,90,70,55,80,110
80,しずは,力量,自然,风,陰の気質,抗体持ち,105,100,90,45,80,55
81,みのりこ,普通,自然,NULL,陽の気質,小休止,65,30,45,60,55,40
81,みのりこ,力量,自然,NULL,陽の気質,攻め上手,90,55,65,100,75,90
81,みのりこ,防御,自然,大地,陽の気質,小休止,130,50,70,90,85,50
82,ひな,普通,毒,冥,エアクッション,因果応報,40,60,70,40,45,45
82,ひな,防御,毒,冥,エアクッション,因果応報,60,95,115,80,60,75
82,ひな,辅助,毒,暗,エアクッション,因果応報,60,90,60,70,100,105
83,にとり,普通,水,钢铁,メンテナンス,収集癖,65,65,55,40,35,40
83,にとり,力量,水,钢铁,メンテナンス,反動相殺,120,110,95,70,45,55
83,にとり,速度,水,雷,メンテナンス,電磁誘導,90,55,80,105,65,100
84,もみじ,普通,钢铁,风,正々堂々,望遠,50,60,60,30,30,65
84,もみじ,速度,钢铁,风,正々堂々,暴風之型,70,100,80,60,70,115
84,もみじ,防御,钢铁,大地,不屈,望遠,90,95,140,50,45,75
85,さなえ,普通,风,水,加護,常識破り,60,40,50,60,50,50
85,さなえ,力量,风,水,幸運,気質発現「凪」,90,60,90,110,85,75
85,さなえ,速度,风,大地,加護,常識破り,100,70,80,95,70,95
86,かなこ,普通,风,大地,理不尽,強者の微笑,70,65,75,55,40,30
86,かなこ,防御,风,大地,理不尽,強者の微笑,95,110,140,95,70,70
86,かなこ,力量,风,自然,理不尽,虚気平心,130,120,75,80,85,90
87,すわこ,普通,大地,水,楽天家,気分屋,60,45,50,70,45,65
87,すわこ,速度,大地,水,楽天家,気分屋,95,90,80,120,80,115
87,すわこ,防御,大地,钢铁,楽天家,小休止,110,110,115,80,80,85
88,いく,普通,雷,NULL,電磁誘導,エアクッション,60,40,60,70,50,25
88,いく,力量,雷,NULL,電磁誘導,エアクッション,90,75,100,130,80,45
88,いく,速度,雷,风,暴風之型,帯電,80,115,85,75,80,85
89,てんし,普通,大地,NULL,不屈,天衣無縫,65,70,70,35,40,30
89,てんし,力量,大地,NULL,不屈,天衣無縫,85,130,115,65,65,70
89,てんし,防御,大地,光,不屈,天衣無縫,120,110,145,60,50,45
90,キスメ,普通,暗,炎,不屈,五分の意地,60,25,70,50,70,20
90,キスメ,辅助,暗,炎,不屈,五分の意地,90,65,180,75,30,35
90,キスメ,防御,暗,水,不屈,五分の意地,90,65,30,75,180,35
91,ヤマメ,普通,毒,大地,感染症,身軽,55,40,50,55,55,45
91,ヤマメ,力量,毒,大地,感染症,身軽,90,40,85,120,80,70
91,ヤマメ,辅助,毒,自然,感染症,身軽,80,115,70,60,70,90
92,パルスィ,普通,暗,冥,因果応報,早目,30,60,75,30,70,35
92,パルスィ,防御,暗,冥,因果応報,早目,45,100,120,70,110,50
92,パルスィ,辅助,暗,毒,因果応報,復讐の化身,65,110,65,75,75,105
93,ゆうぎ,普通,斗,NULL,仁王立ち,反動相殺,65,80,45,50,40,45
93,ゆうぎ,力量,斗,NULL,仁王立ち,反動相殺,95,165,70,85,65,60
93,ゆうぎ,速度,斗,水,仁王立ち,バトルマニア,80,130,75,80,95,80
94,さとり,普通,幻,NULL,呪詛返し,投影,60,45,60,45,60,30
94,さとり,防御,幻,NULL,呪詛返し,投影,100,70,100,70,100,60
94,さとり,辅助,幻,NULL,影縫い,なし,185,30,55,30,55,45
95,りん,普通,炎,NULL,しなやかな躰,士気向上,45,70,40,40,40,70
95,りん,速度,炎,NULL,しなやかな躰,士気向上,70,105,70,65,70,130
95,りん,力量,炎,冥,しなやかな躰,アップテンポ,80,120,50,100,50,110
96,うつほ,普通,炎,光,吸光,強気,50,80,35,80,35,40
96,うつほ,力量,炎,光,吸光,強気,70,150,50,150,50,60
96,うつほ,速度,炎,斗,ポジティブ,決闘,85,60,80,135,70,100
97,こいし,普通,无,NULL,持ち腐れ,ピースフル,65,30,65,65,65,30
97,こいし,力量,无,NULL,突貫,弾道修正,100,60,100,100,100,60
97,こいし,辅助,无,幻,持ち腐れ,好奇心,105,40,85,80,85,125
98,ナズーリン,普通,大地,钢铁,活発,収集癖,40,55,40,30,35,60
98,ナズーリン,速度,大地,钢铁,浸透戦術,砂塵進攻,60,105,70,50,85,115
98,ナズーリン,防御,大地,毒,活発,砂塵掩蔽,80,85,110,55,95,60
99,こがさ,普通,水,风,威嚇射撃,煙幕展開,55,30,40,50,55,55
99,こがさ,辅助,水,风,威嚇射撃,煙幕展開,95,50,80,90,95,70
99,こがさ,速度,水,光,威嚇射撃,煙幕展開,70,50,70,110,70,110
100,いちりん＆うんざん,普通,斗,NULL,決闘,威圧,60,75,40,30,50,40
100,いちりん＆うんざん,力量,斗,NULL,決闘,威圧,80,130,65,55,100,75
100,いちりん＆うんざん,防御,斗,雷,決闘,威圧,115,120,80,80,80,30
101,むらさ,普通,水,NULL,ネガティブオーラ,清流之型,45,65,40,40,60,50
101,むらさ,力量,水,NULL,ネガティブオーラ,清流之型,75,115,65,70,100,80
101,むらさ,防御,水,冥,ネガティブオーラ,変毒為薬,80,100,110,65,85,65
102,しょう,普通,光,雷,吸光,閃光,40,50,40,75,40,60
102,しょう,力量,光,雷,吸光,閃光,60,80,85,145,80,80
102,しょう,速度,光,大地,仁王立ち,砂塵旋風,70,120,75,80,75,110
103,ひじり,普通,斗,NULL,縦横無尽,光のカーテン,60,40,55,70,60,30
103,ひじり,防御,斗,NULL,縦横無尽,アウロラの恩恵,80,80,100,120,95,55
103,ひじり,速度,斗,光,縦横無尽,不惜身命,80,120,80,60,80,110
104,ぬえ,普通,幻,雷,混乱誘発,望遠,70,35,40,65,60,40
104,ぬえ,力量,幻,雷,妖怪変化,望遠,100,55,80,135,100,50
104,ぬえ,防御,幻,毒,混乱誘発,撹乱,115,55,110,50,100,90
105,はたて,普通,风,NULL,威嚇射撃,望遠,60,40,40,55,40,65
105,はたて,力量,风,NULL,一斉射撃,望遠,100,90,80,90,80,70
105,はたて,辅助,风,幻,威嚇射撃,早目,90,55,75,80,95,115
106,かせん,普通,斗,幻,説教,なし,65,75,60,50,45,30
106,かせん,力量,斗,幻,心眼,突貫,105,140,95,90,65,45
106,かせん,辅助,斗,冥,説教,バトルマニア,95,70,95,80,110,90
107,きょうこ,普通,音,NULL,楽天家,死守,50,40,30,60,50,50
107,きょうこ,力量,音,NULL,煙幕展開,得意分野,120,55,50,130,55,70
107,きょうこ,辅助,音,大地,楽天家,死守,80,50,70,80,110,90
108,よしか,普通,毒,NULL,死霊之型,陰の気質,100,60,35,40,5,55
108,よしか,力量,毒,NULL,死霊之型,陰の気質,160,100,70,60,20,90
108,よしか,防御,毒,冥,死守,闇の力,165,40,80,105,45,65
109,せいが,普通,冥,NULL,浸透戦術,呪詛返し,40,35,50,60,50,65
109,せいが,速度,冥,NULL,浸透戦術,呪詛返し,65,70,90,100,90,110
109,せいが,力量,冥,毒,浸透戦術,呪詛返し,70,65,60,120,110,100
110,とじこ,普通,雷,NULL,帯電,死に物狂い,35,70,50,35,40,70
110,とじこ,速度,雷,NULL,士気向上,死に物狂い,55,135,90,40,60,130
110,とじこ,防御,雷,冥,帯電,妨害戦法,65,50,90,110,100,95
111,ふと,普通,风,水,煙幕展開,全天候型,45,40,55,60,35,70
111,ふと,速度,风,水,煙幕展開,兵法者,65,70,90,105,55,135
111,ふと,力量,大地,炎,煙幕展開,全天候型,80,60,55,120,95,110
112,みこ,普通,光,音,威嚇射撃,アップテンポ,70,70,50,40,35,50
112,みこ,速度,光,音,威嚇射撃,アップテンポ,100,125,80,70,65,90
112,みこ,力量,光,炎,天職の為政者,なし,100,150,60,70,70,105
113,マミゾウ,普通,幻,自然,慧眼,スローテンポ,70,70,60,50,35,30
113,マミゾウ,防御,幻,自然,慧眼,スローテンポ,110,110,110,100,70,60
113,マミゾウ,力量,幻,大地,妖怪変化,なし,80,130,95,75,80,100
114,こすず,普通,无,NULL,自由奔放,気分屋,45,40,35,45,30,40
114,こすず,防御,无,NULL,自由奔放,好奇心,70,45,70,45,70,50
114,こすず,辅助,无,NULL,自由奔放,気分屋,50,30,40,30,40,70
115,こころ,普通,无,斗,ポーカーフェイス,気分屋,60,35,40,60,55,30
115,こころ,防御,无,斗,ポーカーフェイス,気分屋,110,80,80,85,125,50
115,こころ,力量,无,光,ポーカーフェイス,千変万化,90,110,80,110,80,60
116,わかさぎひめ,普通,水,NULL,水の恵み,逆巻く蒼,60,35,40,65,65,35
116,わかさぎひめ,力量,水,NULL,水の恵み,逆巻く蒼,80,60,70,100,100,70
116,わかさぎひめ,速度,水,音,霧中行,自然の力,75,50,60,120,60,115
117,せきばんき,普通,暗,NULL,陰の気質,なし,35,50,65,30,60,30
117,せきばんき,力量,暗,NULL,光明之型,陰の気質,85,105,100,50,75,70
117,せきばんき,辅助,暗,冥,気質発現「濃霧」,御霊信仰,50,60,100,75,120,80
118,かげろう,普通,暗,风,深淵なる黒,疾風,35,35,30,70,40,70
118,かげろう,速度,暗,风,深淵なる黒,疾風,65,65,60,120,80,120
118,かげろう,力量,暗,大地,深淵なる黒,強襲,60,125,55,95,95,80
119,べんべん,普通,音,NULL,応急処置,共鳴,40,50,65,30,65,40
119,べんべん,力量,音,NULL,応急処置,共鳴,65,120,70,60,100,80
119,べんべん,防御,音,自然,応急処置,倹約家,90,105,85,65,95,55
120,やつはし,普通,音,NULL,鳴り響く縞,吸音,65,30,55,60,40,40
120,やつはし,速度,音,NULL,鳴り響く縞,兵法者,95,55,65,100,65,115
120,やつはし,防御,音,自然,早目,五分の意地,85,60,125,100,75,50
121,せいじゃ,普通,毒,NULL,下剋上,理不尽,70,50,30,30,50,70
121,せいじゃ,速度,毒,NULL,下剋上,理不尽,110,85,55,55,85,110
121,せいじゃ,防御,毒,NULL,下剋上,理不尽,80,105,70,60,130,55
